Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por persona;2020;13.761
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por persona;2019;13.091
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por persona;2018;12.155
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por persona;2017;11.827
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por persona;2016;11.114
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por persona;2015;11.169
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por hogar;2023;41.934
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por hogar;2022;38.615
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por hogar;2021;37.122
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por hogar;2020;34.890
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por hogar;2019;33.065
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por hogar;2018;30.720
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por hogar;2017;30.918
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por hogar;2016;28.704
40001 Abades;4000101 Abades distrito 01;;Renta bruta media por hogar;2015;28.316
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por persona;2023;14.080
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por persona;2022;12.779
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por persona;2021;12.554
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por persona;2020;11.959
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por persona;2019;11.429
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por persona;2018;10.731
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por persona;2017;10.314
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por persona;2016;9.816
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por persona;2015;9.904
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por hogar;2023;35.433
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por hogar;2022;32.811
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por hogar;2021;31.941
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por hogar;2020;30.321
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por hogar;2019;28.867
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por hogar;2018;27.120
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por hogar;2017;26.962
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por hogar;2016;25.349
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta neta media por hogar;2015;25.110
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Media de la renta por unidad de consumo;2023;20.937
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Media de la renta por unidad de consumo;2022;19.300
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Media de la renta por unidad de consumo;2021;19.066
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Media de la renta por unidad de consumo;2020;18.025
