Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta neta media por hogar;2022;21.626
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta neta media por hogar;2021;21.495
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta neta media por hogar;2020;22.407
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta neta media por hogar;2019;19.683
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta neta media por hogar;2018;19.032
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta neta media por hogar;2017;20.703
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta neta media por hogar;2016;20.472
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta neta media por hogar;2015;19.965
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Media de la renta por unidad de consumo;2023;19.529
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Media de la renta por unidad de consumo;2022;16.174
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Media de la renta por unidad de consumo;2021;15.763
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Media de la renta por unidad de consumo;2020;15.386
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Media de la renta por unidad de consumo;2019;14.867
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Media de la renta por unidad de consumo;2018;13.662
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Media de la renta por unidad de consumo;2017;14.200
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Media de la renta por unidad de consumo;2016;13.830
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Media de la renta por unidad de consumo;2015;13.880
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Mediana de la renta por unidad de consumo;2023;18.200
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Mediana de la renta por unidad de consumo;2022;16.450
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Mediana de la renta por unidad de consumo;2021;16.100
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Mediana de la renta por unidad de consumo;2020;15.050
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Mediana de la renta por unidad de consumo;2019;13.650
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Mediana de la renta por unidad de consumo;2018;14.350
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Mediana de la renta por unidad de consumo;2017;12.950
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Mediana de la renta por unidad de consumo;2016;13.650
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Mediana de la renta por unidad de consumo;2015;12.950
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta bruta media por persona;2023;16.728
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta bruta media por persona;2022;13.555
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta bruta media por persona;2021;12.886
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta bruta media por persona;2020;11.572
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta bruta media por persona;2019;11.958
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta bruta media por persona;2018;11.128
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta bruta media por persona;2017;11.503
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta bruta media por persona;2016;10.985
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta bruta media por persona;2015;11.073
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Renta bruta media por hogar;2023;30.620
