Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Mediana de la renta por unidad de consumo;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Mediana de la renta por unidad de consumo;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Mediana de la renta por unidad de consumo;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Mediana de la renta por unidad de consumo;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Mediana de la renta por unidad de consumo;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Mediana de la renta por unidad de consumo;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Mediana de la renta por unidad de consumo;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2023;20.089
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2022;18.382
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2021;17.695
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2020;16.460
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por persona;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por hogar;2023;41.245
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por hogar;2022;37.008
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por hogar;2021;36.646
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por hogar;2020;34.654
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por hogar;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por hogar;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por hogar;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por hogar;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Renta bruta media por hogar;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por persona;2023;16.801
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por persona;2022;15.480
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por persona;2021;15.069
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por persona;2020;14.189
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por persona;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por persona;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por persona;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por persona;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por persona;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por hogar;2023;34.493
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por hogar;2022;31.167
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por hogar;2021;31.208
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por hogar;2020;29.874
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por hogar;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por hogar;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por hogar;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por hogar;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta neta media por hogar;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Media de la renta por unidad de consumo;2023;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Media de la renta por unidad de consumo;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Media de la renta por unidad de consumo;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Media de la renta por unidad de consumo;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Media de la renta por unidad de consumo;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Media de la renta por unidad de consumo;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Media de la renta por unidad de consumo;2017;.
