Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otras prestaciones;2021;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otras prestaciones;2020;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otras prestaciones;2019;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otras prestaciones;2018;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otras prestaciones;2017;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otras prestaciones;2016;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otras prestaciones;2015;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otros ingresos;2023;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otros ingresos;2022;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otros ingresos;2021;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otros ingresos;2020;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otros ingresos;2019;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otros ingresos;2018;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otros ingresos;2017;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otros ingresos;2016;.
09001 Abajas;0900101 Abajas distrito 01;;Fuente de ingreso: otros ingresos;2015;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: salario;2023;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: salario;2022;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: salario;2021;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: salario;2020;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: salario;2019;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: salario;2018;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: salario;2017;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: salario;2016;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: salario;2015;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: pensiones;2023;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: pensiones;2022;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: pensiones;2021;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: pensiones;2020;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: pensiones;2019;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: pensiones;2018;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: pensiones;2017;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: pensiones;2016;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: pensiones;2015;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: prestaciones por desempleo;2023;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: prestaciones por desempleo;2022;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: prestaciones por desempleo;2021;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: prestaciones por desempleo;2020;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: prestaciones por desempleo;2019;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: prestaciones por desempleo;2018;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: prestaciones por desempleo;2017;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: prestaciones por desempleo;2016;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: prestaciones por desempleo;2015;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otras prestaciones;2023;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otras prestaciones;2022;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otras prestaciones;2021;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otras prestaciones;2020;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otras prestaciones;2019;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otras prestaciones;2018;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otras prestaciones;2017;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otras prestaciones;2016;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otras prestaciones;2015;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otros ingresos;2023;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otros ingresos;2022;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otros ingresos;2021;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otros ingresos;2020;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otros ingresos;2019;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otros ingresos;2018;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otros ingresos;2017;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otros ingresos;2016;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Fuente de ingreso: otros ingresos;2015;.
09003 Adrada de Haza;;;Fuente de ingreso: salario;2023;49,5
09003 Adrada de Haza;;;Fuente de ingreso: salario;2022;47,8
09003 Adrada de Haza;;;Fuente de ingreso: salario;2021;43,9
09003 Adrada de Haza;;;Fuente de ingreso: salario;2020;45,6
09003 Adrada de Haza;;;Fuente de ingreso: salario;2019;44,5
09003 Adrada de Haza;;;Fuente de ingreso: salario;2018;46,1
09003 Adrada de Haza;;;Fuente de ingreso: salario;2017;47,7
09003 Adrada de Haza;;;Fuente de ingreso: salario;2016;50,4
09003 Adrada de Haza;;;Fuente de ingreso: salario;2015;48
09003 Adrada de Haza;;;Fuente de ingreso: pensiones;2023;29,8
09003 Adrada de Haza;;;Fuente de ingreso: pensiones;2022;31,2
09003 Adrada de Haza;;;Fuente de ingreso: pensiones;2021;32,6
09003 Adrada de Haza;;;Fuente de ingreso: pensiones;2020;30,2
09003 Adrada de Haza;;;Fuente de ingreso: pensiones;2019;27,4
09003 Adrada de Haza;;;Fuente de ingreso: pensiones;2018;26,9
09003 Adrada de Haza;;;Fuente de ingreso: pensiones;2017;25,9
09003 Adrada de Haza;;;Fuente de ingreso: pensiones;2016;28,8
09003 Adrada de Haza;;;Fuente de ingreso: pensiones;2015;29,4
09003 Adrada de Haza;;;Fuente de ingreso: prestaciones por desempleo;2023;2,6
09003 Adrada de Haza;;;Fuente de ingreso: prestaciones por desempleo;2022;2,6
09003 Adrada de Haza;;;Fuente de ingreso: prestaciones por desempleo;2021;4,4
09003 Adrada de Haza;;;Fuente de ingreso: prestaciones por desempleo;2020;5,3
09003 Adrada de Haza;;;Fuente de ingreso: prestaciones por desempleo;2019;2,4
09003 Adrada de Haza;;;Fuente de ingreso: prestaciones por desempleo;2018;2,1
09003 Adrada de Haza;;;Fuente de ingreso: prestaciones por desempleo;2017;2,7
09003 Adrada de Haza;;;Fuente de ingreso: prestaciones por desempleo;2016;2
09003 Adrada de Haza;;;Fuente de ingreso: prestaciones por desempleo;2015;2,6
09003 Adrada de Haza;;;Fuente de ingreso: otras prestaciones;2023;3,9
09003 Adrada de Haza;;;Fuente de ingreso: otras prestaciones;2022;4,4
09003 Adrada de Haza;;;Fuente de ingreso: otras prestaciones;2021;5,2
09003 Adrada de Haza;;;Fuente de ingreso: otras prestaciones;2020;6,5
09003 Adrada de Haza;;;Fuente de ingreso: otras prestaciones;2019;6,3
09003 Adrada de Haza;;;Fuente de ingreso: otras prestaciones;2018;6,8
09003 Adrada de Haza;;;Fuente de ingreso: otras prestaciones;2017;5,9
09003 Adrada de Haza;;;Fuente de ingreso: otras prestaciones;2016;4,5
09003 Adrada de Haza;;;Fuente de ingreso: otras prestaciones;2015;4,5
09003 Adrada de Haza;;;Fuente de ingreso: otros ingresos;2023;14,3
09003 Adrada de Haza;;;Fuente de ingreso: otros ingresos;2022;13,9
09003 Adrada de Haza;;;Fuente de ingreso: otros ingresos;2021;14
09003 Adrada de Haza;;;Fuente de ingreso: otros ingresos;2020;12,4
09003 Adrada de Haza;;;Fuente de ingreso: otros ingresos;2019;19,4
09003 Adrada de Haza;;;Fuente de ingreso: otros ingresos;2018;18
09003 Adrada de Haza;;;Fuente de ingreso: otros ingresos;2017;17,8
09003 Adrada de Haza;;;Fuente de ingreso: otros ingresos;2016;14,3
09003 Adrada de Haza;;;Fuente de ingreso: otros ingresos;2015;15,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Fuente de ingreso: salario;2023;49,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Fuente de ingreso: salario;2022;47,8
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Fuente de ingreso: salario;2021;43,9
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Fuente de ingreso: salario;2020;45,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Fuente de ingreso: salario;2019;44,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Fuente de ingreso: salario;2018;46,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Fuente de ingreso: salario;2017;47,7
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Fuente de ingreso: salario;2016;50,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Fuente de ingreso: salario;2015;48
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Fuente de ingreso: pensiones;2023;29,8
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Fuente de ingreso: pensiones;2022;31,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Fuente de ingreso: pensiones;2021;32,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Fuente de ingreso: pensiones;2020;30,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Fuente de ingreso: pensiones;2019;27,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Fuente de ingreso: pensiones;2018;26,9
