Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: prestaciones por desempleo;2019;1,2
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: prestaciones por desempleo;2018;1,3
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: prestaciones por desempleo;2017;1,4
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: prestaciones por desempleo;2016;1,4
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: prestaciones por desempleo;2015;2,1
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otras prestaciones;2023;3,3
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otras prestaciones;2022;3,5
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otras prestaciones;2021;3,4
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otras prestaciones;2020;2,9
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otras prestaciones;2019;3,7
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otras prestaciones;2018;4,2
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otras prestaciones;2017;3
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otras prestaciones;2016;2,7
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otras prestaciones;2015;3
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otros ingresos;2023;15
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otros ingresos;2022;12,4
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otros ingresos;2021;11,1
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otros ingresos;2020;12,8
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otros ingresos;2019;14,1
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otros ingresos;2018;14,1
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otros ingresos;2017;14,9
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otros ingresos;2016;13,4
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Fuente de ingreso: otros ingresos;2015;14,9
40002 Adrada de Pirón;;;Fuente de ingreso: salario;2023;.
40002 Adrada de Pirón;;;Fuente de ingreso: salario;2022;.
40002 Adrada de Pirón;;;Fuente de ingreso: salario;2021;.
40002 Adrada de Pirón;;;Fuente de ingreso: salario;2020;.
40002 Adrada de Pirón;;;Fuente de ingreso: salario;2019;.
40002 Adrada de Pirón;;;Fuente de ingreso: salario;2018;.
40002 Adrada de Pirón;;;Fuente de ingreso: salario;2017;.
40002 Adrada de Pirón;;;Fuente de ingreso: salario;2016;.
40002 Adrada de Pirón;;;Fuente de ingreso: salario;2015;.
40002 Adrada de Pirón;;;Fuente de ingreso: pensiones;2023;.
40002 Adrada de Pirón;;;Fuente de ingreso: pensiones;2022;.
40002 Adrada de Pirón;;;Fuente de ingreso: pensiones;2021;.
40002 Adrada de Pirón;;;Fuente de ingreso: pensiones;2020;.
40002 Adrada de Pirón;;;Fuente de ingreso: pensiones;2019;.
40002 Adrada de Pirón;;;Fuente de ingreso: pensiones;2018;.
40002 Adrada de Pirón;;;Fuente de ingreso: pensiones;2017;.
40002 Adrada de Pirón;;;Fuente de ingreso: pensiones;2016;.
40002 Adrada de Pirón;;;Fuente de ingreso: pensiones;2015;.
40002 Adrada de Pirón;;;Fuente de ingreso: prestaciones por desempleo;2023;.
40002 Adrada de Pirón;;;Fuente de ingreso: prestaciones por desempleo;2022;.
40002 Adrada de Pirón;;;Fuente de ingreso: prestaciones por desempleo;2021;.
40002 Adrada de Pirón;;;Fuente de ingreso: prestaciones por desempleo;2020;.
40002 Adrada de Pirón;;;Fuente de ingreso: prestaciones por desempleo;2019;.
40002 Adrada de Pirón;;;Fuente de ingreso: prestaciones por desempleo;2018;.
40002 Adrada de Pirón;;;Fuente de ingreso: prestaciones por desempleo;2017;.
40002 Adrada de Pirón;;;Fuente de ingreso: prestaciones por desempleo;2016;.
40002 Adrada de Pirón;;;Fuente de ingreso: prestaciones por desempleo;2015;.
40002 Adrada de Pirón;;;Fuente de ingreso: otras prestaciones;2023;.
40002 Adrada de Pirón;;;Fuente de ingreso: otras prestaciones;2022;.
40002 Adrada de Pirón;;;Fuente de ingreso: otras prestaciones;2021;.
40002 Adrada de Pirón;;;Fuente de ingreso: otras prestaciones;2020;.
40002 Adrada de Pirón;;;Fuente de ingreso: otras prestaciones;2019;.
40002 Adrada de Pirón;;;Fuente de ingreso: otras prestaciones;2018;.
40002 Adrada de Pirón;;;Fuente de ingreso: otras prestaciones;2017;.
40002 Adrada de Pirón;;;Fuente de ingreso: otras prestaciones;2016;.
40002 Adrada de Pirón;;;Fuente de ingreso: otras prestaciones;2015;.
40002 Adrada de Pirón;;;Fuente de ingreso: otros ingresos;2023;.
40002 Adrada de Pirón;;;Fuente de ingreso: otros ingresos;2022;.
40002 Adrada de Pirón;;;Fuente de ingreso: otros ingresos;2021;.
40002 Adrada de Pirón;;;Fuente de ingreso: otros ingresos;2020;.
40002 Adrada de Pirón;;;Fuente de ingreso: otros ingresos;2019;.
40002 Adrada de Pirón;;;Fuente de ingreso: otros ingresos;2018;.
40002 Adrada de Pirón;;;Fuente de ingreso: otros ingresos;2017;.
40002 Adrada de Pirón;;;Fuente de ingreso: otros ingresos;2016;.
40002 Adrada de Pirón;;;Fuente de ingreso: otros ingresos;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Fuente de ingreso: salario;2023;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Fuente de ingreso: salario;2022;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Fuente de ingreso: salario;2021;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Fuente de ingreso: salario;2020;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Fuente de ingreso: salario;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Fuente de ingreso: salario;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Fuente de ingreso: salario;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Fuente de ingreso: salario;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Fuente de ingreso: salario;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Fuente de ingreso: pensiones;2023;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Fuente de ingreso: pensiones;2022;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Fuente de ingreso: pensiones;2021;.
