Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
47001 Adalia;4700101 Adalia distrito 01;;Fuente de ingreso: otros ingresos;2021;.
47001 Adalia;4700101 Adalia distrito 01;;Fuente de ingreso: otros ingresos;2020;.
47001 Adalia;4700101 Adalia distrito 01;;Fuente de ingreso: otros ingresos;2019;.
47001 Adalia;4700101 Adalia distrito 01;;Fuente de ingreso: otros ingresos;2018;.
47001 Adalia;4700101 Adalia distrito 01;;Fuente de ingreso: otros ingresos;2017;.
47001 Adalia;4700101 Adalia distrito 01;;Fuente de ingreso: otros ingresos;2016;.
47001 Adalia;4700101 Adalia distrito 01;;Fuente de ingreso: otros ingresos;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: salario;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: salario;2022;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: salario;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: salario;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: salario;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: salario;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: salario;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: salario;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: salario;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: pensiones;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: pensiones;2022;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: pensiones;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: pensiones;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: pensiones;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: pensiones;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: pensiones;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: pensiones;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: pensiones;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: prestaciones por desempleo;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: prestaciones por desempleo;2022;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: prestaciones por desempleo;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: prestaciones por desempleo;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: prestaciones por desempleo;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: prestaciones por desempleo;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: prestaciones por desempleo;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: prestaciones por desempleo;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: prestaciones por desempleo;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otras prestaciones;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otras prestaciones;2022;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otras prestaciones;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otras prestaciones;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otras prestaciones;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otras prestaciones;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otras prestaciones;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otras prestaciones;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otras prestaciones;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otros ingresos;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otros ingresos;2022;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otros ingresos;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otros ingresos;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otros ingresos;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otros ingresos;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otros ingresos;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otros ingresos;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Fuente de ingreso: otros ingresos;2015;.
47002 Aguasal;;;Fuente de ingreso: salario;2023;.
47002 Aguasal;;;Fuente de ingreso: salario;2022;.
47002 Aguasal;;;Fuente de ingreso: salario;2021;.
47002 Aguasal;;;Fuente de ingreso: salario;2020;.
47002 Aguasal;;;Fuente de ingreso: salario;2019;.
47002 Aguasal;;;Fuente de ingreso: salario;2018;.
47002 Aguasal;;;Fuente de ingreso: salario;2017;.
47002 Aguasal;;;Fuente de ingreso: salario;2016;.
47002 Aguasal;;;Fuente de ingreso: salario;2015;.
47002 Aguasal;;;Fuente de ingreso: pensiones;2023;.
47002 Aguasal;;;Fuente de ingreso: pensiones;2022;.
47002 Aguasal;;;Fuente de ingreso: pensiones;2021;.
47002 Aguasal;;;Fuente de ingreso: pensiones;2020;.
47002 Aguasal;;;Fuente de ingreso: pensiones;2019;.
47002 Aguasal;;;Fuente de ingreso: pensiones;2018;.
47002 Aguasal;;;Fuente de ingreso: pensiones;2017;.
47002 Aguasal;;;Fuente de ingreso: pensiones;2016;.
47002 Aguasal;;;Fuente de ingreso: pensiones;2015;.
47002 Aguasal;;;Fuente de ingreso: prestaciones por desempleo;2023;.
47002 Aguasal;;;Fuente de ingreso: prestaciones por desempleo;2022;.
47002 Aguasal;;;Fuente de ingreso: prestaciones por desempleo;2021;.
