Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
42001 Abejar;4200101 Abejar distrito 01;;Fuente de ingreso: otras prestaciones;2015;1,4
42001 Abejar;4200101 Abejar distrito 01;;Fuente de ingreso: otros ingresos;2023;12,4
42001 Abejar;4200101 Abejar distrito 01;;Fuente de ingreso: otros ingresos;2022;9
42001 Abejar;4200101 Abejar distrito 01;;Fuente de ingreso: otros ingresos;2021;9,5
42001 Abejar;4200101 Abejar distrito 01;;Fuente de ingreso: otros ingresos;2020;6,2
42001 Abejar;4200101 Abejar distrito 01;;Fuente de ingreso: otros ingresos;2019;9,1
42001 Abejar;4200101 Abejar distrito 01;;Fuente de ingreso: otros ingresos;2018;8,9
42001 Abejar;4200101 Abejar distrito 01;;Fuente de ingreso: otros ingresos;2017;8,5
42001 Abejar;4200101 Abejar distrito 01;;Fuente de ingreso: otros ingresos;2016;8,9
42001 Abejar;4200101 Abejar distrito 01;;Fuente de ingreso: otros ingresos;2015;12,5
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: salario;2023;52,1
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: salario;2022;54
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: salario;2021;49,4
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: salario;2020;51,3
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: salario;2019;54,6
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: salario;2018;55,4
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: salario;2017;52,5
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: salario;2016;54
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: salario;2015;52,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: pensiones;2023;30,9
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: pensiones;2022;32,4
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: pensiones;2021;35,1
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: pensiones;2020;34,8
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: pensiones;2019;30,9
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: pensiones;2018;31,4
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: pensiones;2017;34,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: pensiones;2016;32,6
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: pensiones;2015;31,4
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: prestaciones por desempleo;2023;2,3
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: prestaciones por desempleo;2022;1,9
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: prestaciones por desempleo;2021;3,7
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: prestaciones por desempleo;2020;5,4
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: prestaciones por desempleo;2019;2,5
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: prestaciones por desempleo;2018;2,1
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: prestaciones por desempleo;2017;2,5
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: prestaciones por desempleo;2016;2,3
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: prestaciones por desempleo;2015;2,6
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: otras prestaciones;2023;2,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Fuente de ingreso: otras prestaciones;2022;2,8
