Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: otros ingresos;2023;13,4
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: otros ingresos;2022;14,7
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: otros ingresos;2021;15,8
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: otros ingresos;2020;13,4
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: otros ingresos;2019;14,9
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: otros ingresos;2018;16,8
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: otros ingresos;2017;21,7
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: otros ingresos;2016;22,3
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Fuente de ingreso: otros ingresos;2015;20,7
05002 Adrada, La;;;Fuente de ingreso: salario;2023;55,7
05002 Adrada, La;;;Fuente de ingreso: salario;2022;54,6
05002 Adrada, La;;;Fuente de ingreso: salario;2021;55,2
05002 Adrada, La;;;Fuente de ingreso: salario;2020;54,3
05002 Adrada, La;;;Fuente de ingreso: salario;2019;55,6
05002 Adrada, La;;;Fuente de ingreso: salario;2018;54,7
05002 Adrada, La;;;Fuente de ingreso: salario;2017;54,8
05002 Adrada, La;;;Fuente de ingreso: salario;2016;53,9
05002 Adrada, La;;;Fuente de ingreso: salario;2015;53,8
05002 Adrada, La;;;Fuente de ingreso: pensiones;2023;24,2
05002 Adrada, La;;;Fuente de ingreso: pensiones;2022;24,3
05002 Adrada, La;;;Fuente de ingreso: pensiones;2021;23,3
05002 Adrada, La;;;Fuente de ingreso: pensiones;2020;23,5
05002 Adrada, La;;;Fuente de ingreso: pensiones;2019;24,3
05002 Adrada, La;;;Fuente de ingreso: pensiones;2018;25,2
05002 Adrada, La;;;Fuente de ingreso: pensiones;2017;25,4
05002 Adrada, La;;;Fuente de ingreso: pensiones;2016;26,6
05002 Adrada, La;;;Fuente de ingreso: pensiones;2015;26,5
05002 Adrada, La;;;Fuente de ingreso: prestaciones por desempleo;2023;3,1
05002 Adrada, La;;;Fuente de ingreso: prestaciones por desempleo;2022;3,1
05002 Adrada, La;;;Fuente de ingreso: prestaciones por desempleo;2021;4,1
05002 Adrada, La;;;Fuente de ingreso: prestaciones por desempleo;2020;6
05002 Adrada, La;;;Fuente de ingreso: prestaciones por desempleo;2019;3,4
05002 Adrada, La;;;Fuente de ingreso: prestaciones por desempleo;2018;3,7
05002 Adrada, La;;;Fuente de ingreso: prestaciones por desempleo;2017;3,2
05002 Adrada, La;;;Fuente de ingreso: prestaciones por desempleo;2016;3,8
05002 Adrada, La;;;Fuente de ingreso: prestaciones por desempleo;2015;4,6
05002 Adrada, La;;;Fuente de ingreso: otras prestaciones;2023;5,4
05002 Adrada, La;;;Fuente de ingreso: otras prestaciones;2022;5,8
05002 Adrada, La;;;Fuente de ingreso: otras prestaciones;2021;5,3
05002 Adrada, La;;;Fuente de ingreso: otras prestaciones;2020;5,1
05002 Adrada, La;;;Fuente de ingreso: otras prestaciones;2019;4,8
05002 Adrada, La;;;Fuente de ingreso: otras prestaciones;2018;5,3
05002 Adrada, La;;;Fuente de ingreso: otras prestaciones;2017;4,9
05002 Adrada, La;;;Fuente de ingreso: otras prestaciones;2016;4
05002 Adrada, La;;;Fuente de ingreso: otras prestaciones;2015;4
05002 Adrada, La;;;Fuente de ingreso: otros ingresos;2023;11,6
05002 Adrada, La;;;Fuente de ingreso: otros ingresos;2022;12,2
05002 Adrada, La;;;Fuente de ingreso: otros ingresos;2021;12,1
05002 Adrada, La;;;Fuente de ingreso: otros ingresos;2020;11
05002 Adrada, La;;;Fuente de ingreso: otros ingresos;2019;11,8
