Municipios;Distritos;Secciones;Sexo;Distribución de la renta por unidad de consumo;Periodo;Total
47001 Adalia;4700101 Adalia distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
47001 Adalia;4700101 Adalia distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
47001 Adalia;4700101 Adalia distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
47001 Adalia;4700101 Adalia distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
47001 Adalia;4700101 Adalia distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
47001 Adalia;4700101 Adalia distrito 01;4700101001 Adalia sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
