Municipios;Distritos;Secciones;Sexo;Distribución de la renta por unidad de consumo;Periodo;Total
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
05001 Adanero;;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;;Mujeres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Total;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
