Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Total;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Total;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Ocupado/a;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Ocupado/a;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Ocupado/a;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Parado/a;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Parado/a;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Parado/a;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Otra situación de inactividad;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Otra situación de inactividad;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Otra situación de inactividad;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Estudiante;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Estudiante;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Total;Estudiante;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Total;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Total;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Total;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Ocupado/a;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Ocupado/a;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Ocupado/a;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Parado/a;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Parado/a;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Parado/a;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Otra situación de inactividad;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Otra situación de inactividad;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Otra situación de inactividad;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Estudiante;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Estudiante;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Hombres;Estudiante;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Total;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Total;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Total;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Ocupado/a;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Ocupado/a;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Ocupado/a;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Parado/a;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Parado/a;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Parado/a;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Otra situación de inactividad;2023;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Otra situación de inactividad;2022;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Otra situación de inactividad;2021;.
47 Valladolid;47002 Aguasal;4700201001 Aguasal sección 01001;Mujeres;Estudiante;2023;.
