Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de población de 65 y más años;2019;35,0
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de población de 65 y más años;2018;35,7
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de población de 65 y más años;2017;36,4
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de población de 65 y más años;2016;35,3
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de población de 65 y más años;2015;35,0
42001 Abejar;4200101 Abejar distrito 01;;Tamaño medio del hogar;2023;2,2
42001 Abejar;4200101 Abejar distrito 01;;Tamaño medio del hogar;2022;2,2
42001 Abejar;4200101 Abejar distrito 01;;Tamaño medio del hogar;2021;2,1
42001 Abejar;4200101 Abejar distrito 01;;Tamaño medio del hogar;2020;2,0
42001 Abejar;4200101 Abejar distrito 01;;Tamaño medio del hogar;2019;2,2
42001 Abejar;4200101 Abejar distrito 01;;Tamaño medio del hogar;2018;2,3
42001 Abejar;4200101 Abejar distrito 01;;Tamaño medio del hogar;2017;2,2
42001 Abejar;4200101 Abejar distrito 01;;Tamaño medio del hogar;2016;2,3
42001 Abejar;4200101 Abejar distrito 01;;Tamaño medio del hogar;2015;2,2
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de hogares unipersonales;2023;41,3
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de hogares unipersonales;2022;41,4
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de hogares unipersonales;2021;45,0
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de hogares unipersonales;2020;47,0
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de hogares unipersonales;2019;43,1
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de hogares unipersonales;2018;41,7
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de hogares unipersonales;2017;44,8
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de hogares unipersonales;2016;40,7
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de hogares unipersonales;2015;43,1
42001 Abejar;4200101 Abejar distrito 01;;Población;2023;264
42001 Abejar;4200101 Abejar distrito 01;;Población;2022;283
42001 Abejar;4200101 Abejar distrito 01;;Población;2021;269
42001 Abejar;4200101 Abejar distrito 01;;Población;2020;267
42001 Abejar;4200101 Abejar distrito 01;;Población;2019;286
42001 Abejar;4200101 Abejar distrito 01;;Población;2018;286
42001 Abejar;4200101 Abejar distrito 01;;Población;2017;291
42001 Abejar;4200101 Abejar distrito 01;;Población;2016;317
42001 Abejar;4200101 Abejar distrito 01;;Población;2015;323
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de población española;2023;89,8
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de población española;2022;88,7
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de población española;2021;89,0
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de población española;2020;89,4
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de población española;2019;91,6
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de población española;2018;90,2
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de población española;2017;90,1
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de población española;2016;91,8
42001 Abejar;4200101 Abejar distrito 01;;Porcentaje de población española;2015;92,4
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Edad media de la población;2023;53,4
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Edad media de la población;2022;53,1
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Edad media de la población;2021;53,6
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Edad media de la población;2020;54,1
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Edad media de la población;2019;53,4
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Edad media de la población;2018;53,9
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Edad media de la población;2017;54,7
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Edad media de la población;2016;53,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Edad media de la población;2015;53,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población menor de 18 años;2023;9,1
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población menor de 18 años;2022;8,8
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población menor de 18 años;2021;8,9
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población menor de 18 años;2020;7,5
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población menor de 18 años;2019;8,4
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población menor de 18 años;2018;6,6
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población menor de 18 años;2017;5,5
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población menor de 18 años;2016;8,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población menor de 18 años;2015;8,0
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población de 65 y más años;2023;35,6
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población de 65 y más años;2022;35,3
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población de 65 y más años;2021;37,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población de 65 y más años;2020;37,1
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población de 65 y más años;2019;35,0
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población de 65 y más años;2018;35,7
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población de 65 y más años;2017;36,4
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población de 65 y más años;2016;35,3
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población de 65 y más años;2015;35,0
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Tamaño medio del hogar;2023;2,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Tamaño medio del hogar;2022;2,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Tamaño medio del hogar;2021;2,1
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Tamaño medio del hogar;2020;2,0
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Tamaño medio del hogar;2019;2,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Tamaño medio del hogar;2018;2,3
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Tamaño medio del hogar;2017;2,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Tamaño medio del hogar;2016;2,3
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Tamaño medio del hogar;2015;2,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de hogares unipersonales;2023;41,3
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de hogares unipersonales;2022;41,4
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de hogares unipersonales;2021;45,0
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de hogares unipersonales;2020;47,0
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de hogares unipersonales;2019;43,1
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de hogares unipersonales;2018;41,7
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de hogares unipersonales;2017;44,8
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de hogares unipersonales;2016;40,7
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de hogares unipersonales;2015;43,1
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Población;2023;264
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Población;2022;283
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Población;2021;269
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Población;2020;267
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Población;2019;286
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Población;2018;286
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Población;2017;291
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Población;2016;317
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Población;2015;323
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población española;2023;89,8
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población española;2022;88,7
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población española;2021;89,0
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población española;2020;89,4
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población española;2019;91,6
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población española;2018;90,2
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población española;2017;90,1
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población española;2016;91,8
42001 Abejar;4200101 Abejar distrito 01;4200101001 Abejar sección 01001;Porcentaje de población española;2015;92,4
42003 Adradas;;;Edad media de la población;2023;55,6
42003 Adradas;;;Edad media de la población;2022;54,0
42003 Adradas;;;Edad media de la población;2021;53,7
42003 Adradas;;;Edad media de la población;2020;54,0
42003 Adradas;;;Edad media de la población;2019;.
42003 Adradas;;;Edad media de la población;2018;.
42003 Adradas;;;Edad media de la población;2017;.
42003 Adradas;;;Edad media de la población;2016;.
42003 Adradas;;;Edad media de la población;2015;.
42003 Adradas;;;Porcentaje de población menor de 18 años;2023;3,1
42003 Adradas;;;Porcentaje de población menor de 18 años;2022;5,9
42003 Adradas;;;Porcentaje de población menor de 18 años;2021;4,6
42003 Adradas;;;Porcentaje de población menor de 18 años;2020;4,7
42003 Adradas;;;Porcentaje de población menor de 18 años;2019;.
42003 Adradas;;;Porcentaje de población menor de 18 años;2018;.
42003 Adradas;;;Porcentaje de población menor de 18 años;2017;.
42003 Adradas;;;Porcentaje de población menor de 18 años;2016;.
42003 Adradas;;;Porcentaje de población menor de 18 años;2015;.
42003 Adradas;;;Porcentaje de población de 65 y más años;2023;32,8
42003 Adradas;;;Porcentaje de población de 65 y más años;2022;29,4
42003 Adradas;;;Porcentaje de población de 65 y más años;2021;28,8
42003 Adradas;;;Porcentaje de población de 65 y más años;2020;31,3
42003 Adradas;;;Porcentaje de población de 65 y más años;2019;.
42003 Adradas;;;Porcentaje de población de 65 y más años;2018;.
42003 Adradas;;;Porcentaje de población de 65 y más años;2017;.
42003 Adradas;;;Porcentaje de población de 65 y más años;2016;.
42003 Adradas;;;Porcentaje de población de 65 y más años;2015;.
42003 Adradas;;;Tamaño medio del hogar;2023;2,4
42003 Adradas;;;Tamaño medio del hogar;2022;2,4
42003 Adradas;;;Tamaño medio del hogar;2021;2,4
