Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población menor de 18 años;2022;5,9
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población menor de 18 años;2021;7,5
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población menor de 18 años;2020;7
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población menor de 18 años;2019;8,7
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población menor de 18 años;2018;9,6
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población menor de 18 años;2017;9,4
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población menor de 18 años;2016;9,3
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población menor de 18 años;2015;10,7
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población de 65 y más años;2023;40,4
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población de 65 y más años;2022;38,5
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población de 65 y más años;2021;36
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población de 65 y más años;2020;37,8
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población de 65 y más años;2019;36,4
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población de 65 y más años;2018;34,8
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población de 65 y más años;2017;36,6
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población de 65 y más años;2016;34,6
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población de 65 y más años;2015;35,3
24001 Acebedo;2400101 Acebedo distrito 01;;Tamaño medio del hogar;2023;2
24001 Acebedo;2400101 Acebedo distrito 01;;Tamaño medio del hogar;2022;2
24001 Acebedo;2400101 Acebedo distrito 01;;Tamaño medio del hogar;2021;2,1
24001 Acebedo;2400101 Acebedo distrito 01;;Tamaño medio del hogar;2020;2
24001 Acebedo;2400101 Acebedo distrito 01;;Tamaño medio del hogar;2019;2,1
24001 Acebedo;2400101 Acebedo distrito 01;;Tamaño medio del hogar;2018;2,1
24001 Acebedo;2400101 Acebedo distrito 01;;Tamaño medio del hogar;2017;2,1
24001 Acebedo;2400101 Acebedo distrito 01;;Tamaño medio del hogar;2016;2
24001 Acebedo;2400101 Acebedo distrito 01;;Tamaño medio del hogar;2015;2
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de hogares unipersonales;2023;51,6
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de hogares unipersonales;2022;49,5
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de hogares unipersonales;2021;50,6
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de hogares unipersonales;2020;53,8
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de hogares unipersonales;2019;48,5
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de hogares unipersonales;2018;48,2
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de hogares unipersonales;2017;44,2
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de hogares unipersonales;2016;47,5
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de hogares unipersonales;2015;47,9
24001 Acebedo;2400101 Acebedo distrito 01;;Población;2023;188
24001 Acebedo;2400101 Acebedo distrito 01;;Población;2022;187
24001 Acebedo;2400101 Acebedo distrito 01;;Población;2021;186
24001 Acebedo;2400101 Acebedo distrito 01;;Población;2020;185
24001 Acebedo;2400101 Acebedo distrito 01;;Población;2019;184
24001 Acebedo;2400101 Acebedo distrito 01;;Población;2018;187
24001 Acebedo;2400101 Acebedo distrito 01;;Población;2017;202
24001 Acebedo;2400101 Acebedo distrito 01;;Población;2016;205
24001 Acebedo;2400101 Acebedo distrito 01;;Población;2015;215
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población española;2023;98,9
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población española;2022;98,9
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población española;2021;100
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población española;2020;100
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población española;2019;99,4
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población española;2018;99,4
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población española;2017;99,5
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población española;2016;99,5
24001 Acebedo;2400101 Acebedo distrito 01;;Porcentaje de población española;2015;99,5
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Edad media de la población;2023;56,3
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Edad media de la población;2022;55,9
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Edad media de la población;2021;55,4
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Edad media de la población;2020;55,9
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Edad media de la población;2019;54,7
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Edad media de la población;2018;54,5
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Edad media de la población;2017;54,9
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Edad media de la población;2016;55,6
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Edad media de la población;2015;55,3
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Porcentaje de población menor de 18 años;2023;5,3
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Porcentaje de población menor de 18 años;2022;5,9
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Porcentaje de población menor de 18 años;2021;7,5
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Porcentaje de población menor de 18 años;2020;7
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Porcentaje de población menor de 18 años;2019;8,7
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Porcentaje de población menor de 18 años;2018;9,6
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Porcentaje de población menor de 18 años;2017;9,4
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Porcentaje de población menor de 18 años;2016;9,3
