Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Índice de Gini;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Índice de Gini;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Índice de Gini;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Índice de Gini;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Índice de Gini;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Distribución de la renta P80/P20;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Distribución de la renta P80/P20;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Distribución de la renta P80/P20;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Distribución de la renta P80/P20;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Distribución de la renta P80/P20;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Distribución de la renta P80/P20;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Distribución de la renta P80/P20;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Distribución de la renta P80/P20;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Distribución de la renta P80/P20;2015;.
47003 Aguilar de Campos;;;Índice de Gini;2023;27
47003 Aguilar de Campos;;;Índice de Gini;2022;31,5
47003 Aguilar de Campos;;;Índice de Gini;2021;33,9
47003 Aguilar de Campos;;;Índice de Gini;2020;31,5
47003 Aguilar de Campos;;;Índice de Gini;2019;34,1
47003 Aguilar de Campos;;;Índice de Gini;2018;31
47003 Aguilar de Campos;;;Índice de Gini;2017;32,3
47003 Aguilar de Campos;;;Índice de Gini;2016;30,6
47003 Aguilar de Campos;;;Índice de Gini;2015;31,2
47003 Aguilar de Campos;;;Distribución de la renta P80/P20;2023;2,6
47003 Aguilar de Campos;;;Distribución de la renta P80/P20;2022;2,9
47003 Aguilar de Campos;;;Distribución de la renta P80/P20;2021;2,8
47003 Aguilar de Campos;;;Distribución de la renta P80/P20;2020;2,8
47003 Aguilar de Campos;;;Distribución de la renta P80/P20;2019;2,9
47003 Aguilar de Campos;;;Distribución de la renta P80/P20;2018;3,3
47003 Aguilar de Campos;;;Distribución de la renta P80/P20;2017;3,2
